Experience,Rating,Profile,Fees,city,and,bams,bds,bhms,ddv,ddvl,dnb,ent,in,mbbs,md,mds,ms,of,oral,phd,post
16,10,Dentist,200,Bangalore,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,10,Dentist,200,Thiruvananthapuram,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,10,Dentist,100,Chennai,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
30,10,Dentist,300,Ernakulam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,0,General Medicine,100,Chennai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,9,ENT Specialist,350,Bangalore,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,0,Dentist,300,Chennai,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,10,Ayurveda,300,Bangalore,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,0,Dentist,250,Delhi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,General Medicine,100,Delhi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,10,Ayurveda,100,Mumbai,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,9,Dermatologists,500,Bangalore,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,10,Dentist,200,Chennai,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,10,Dentist,250,Bangalore,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,0,General Medicine,500,Hyderabad,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,0,Dentist,200,Ernakulam,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,10,Dermatologists,100,Mumbai,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,0,Dentist,250,Ernakulam,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,Ayurveda,500,Mumbai,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,0,Ayurveda,150,Delhi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,0,Homeopath,100,Chennai,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,Homeopath,500,Bangalore,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,9,Homeopath,200,Bangalore,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,ENT Specialist,200,Chennai,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,10,Dermatologists,600,Mumbai,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,0,General Medicine,300,Delhi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,10,Dentist,300,Delhi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,General Medicine,800,Delhi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,0,ENT Specialist,300,Chennai,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
13,9,Dermatologists,100,Delhi,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
12,0,Dermatologists,800,Delhi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,10,Dentist,200,Chennai,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,10,Homeopath,350,Delhi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,Dermatologists,100,Mumbai,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
35,0,General Medicine,200,Mumbai,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,0,Dermatologists,300,Bangalore,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,9,Dermatologists,500,Bangalore,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,9,General Medicine,400,Hyderabad,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
34,10,General Medicine,100,Mumbai,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
21,8,ENT Specialist,500,Chennai,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
13,10,General Medicine,750,Hyderabad,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,9,ENT Specialist,800,Delhi,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
35,10,ENT Specialist,200,Bangalore,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,0,Homeopath,250,Ernakulam,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,10,ENT Specialist,300,Bangalore,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,9,Dermatologists,800,Chennai,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,0,ENT Specialist,300,Hyderabad,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
32,0,General Medicine,150,Coimbatore,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,10,Dentist,400,Bangalore,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,10,Homeopath,100,Chennai,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
9,10,Dentist,300,Ernakulam,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5,10,Ayurveda,200,Bangalore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,Homeopath,100,Mumbai,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,Ayurveda,300,Delhi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,10,Homeopath,500,Chennai,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,10,ENT Specialist,500,Bangalore,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
6,0,Dentist,200,Hyderabad,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
10,10,Dentist,300,Mumbai,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,ENT Specialist,100,Coimbatore,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
36,10,General Medicine,600,Chennai,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,10,Dentist,100,Bangalore,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,0,Ayurveda,300,Delhi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10,Dentist,150,Hyderabad,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,8,Dermatologists,400,Chennai,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,10,Dermatologists,500,Bangalore,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,Dentist,300,Delhi,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
14,0,Dentist,200,Mumbai,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,Ayurveda,100,Mumbai,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10,General Medicine,400,Delhi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,9,General Medicine,200,Bangalore,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,10,Homeopath,200,Delhi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,Ayurveda,300,Mumbai,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,10,ENT Specialist,100,Mumbai,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
16,10,Dentist,200,Coimbatore,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,10,Homeopath,500,Mumbai,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
11,10,Dentist,100,Ernakulam,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,9,General Medicine,300,Bangalore,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
18,8,Dermatologists,400,Bangalore,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,0,Ayurveda,300,Mumbai,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,0,General Medicine,500,Delhi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,0,Ayurveda,150,Hyderabad,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,0,Homeopath,600,Hyderabad,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,10,General Medicine,100,Delhi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,9,General Medicine,100,Mumbai,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
13,0,Dentist,100,Coimbatore,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
5,10,Dentist,100,Mumbai,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,0,Dermatologists,300,Bangalore,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,10,ENT Specialist,800,Delhi,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
10,0,Dermatologists,500,Delhi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,0,General Medicine,250,Delhi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,10,Dentist,200,Hyderabad,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,0,Homeopath,500,Bangalore,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0,Dermatologists,500,Hyderabad,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,0,Ayurveda,300,Delhi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,10,ENT Specialist,600,Delhi,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
15,10,Dermatologists,450,Chennai,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,0,Dentist,300,Chennai,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,Homeopath,400,Bangalore,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,Ayurveda,100,Bangalore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,Ayurveda,250,Bangalore,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,Ayurveda,250,Bangalore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,ENT Specialist,700,Chennai,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
8,0,Ayurveda,150,Thiruvananthapuram,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,ENT Specialist,300,Ernakulam,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0
15,0,Dentist,500,Mumbai,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
7,10,Dentist,80,Chennai,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,Dermatologists,300,Hyderabad,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,0,General Medicine,50,Mumbai,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,6,General Medicine,100,Hyderabad,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1
14,10,Dentist,100,Ernakulam,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,Dentist,200,Coimbatore,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
8,10,Dermatologists,500,Bangalore,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,0,ENT Specialist,100,Delhi,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
44,0,Ayurveda,50,Mumbai,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,Homeopath,450,Hyderabad,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,8,Dermatologists,300,Hyderabad,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,0,Homeopath,250,Mumbai,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,General Medicine,100,Coimbatore,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
16,10,Homeopath,100,Mumbai,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,10,Dentist,200,Mumbai,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,10,ENT Specialist,300,Hyderabad,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
15,10,Dermatologists,800,Mumbai,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
8,0,Dentist,100,Bangalore,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,Homeopath,100,Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,10,General Medicine,400,Mumbai,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,0,Homeopath,700,Delhi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,Dentist,100,Thiruvananthapuram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,General Medicine,100,Chennai,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16,0,Homeopath,600,Mumbai,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,0,Dentist,200,Bangalore,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,Homeopath,200,Chennai,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,0,Homeopath,100,Delhi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,Ayurveda,200,Mumbai,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,ENT Specialist,500,Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,10,Dentist,200,Bangalore,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,0,General Medicine,500,Hyderabad,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
25,10,ENT Specialist,800,Delhi,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
9,0,Dermatologists,400,Bangalore,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
16,10,Dermatologists,500,Hyderabad,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
46,10,Dentist,200,Hyderabad,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,General Medicine,600,Delhi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,10,Dentist,500,Mumbai,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,0,General Medicine,500,Chennai,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
41,0,General Medicine,100,Hyderabad,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,10,Dentist,200,Bangalore,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
11,10,Homeopath,100,Mumbai,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
9,10,ENT Specialist,500,Hyderabad,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
10,10,Ayurveda,250,Chennai,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,0,Homeopath,200,Delhi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,Homeopath,60,Mumbai,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,ENT Specialist,500,Delhi,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
33,8,General Medicine,100,Mumbai,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
9,10,Dermatologists,600,Bangalore,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,0,General Medicine,200,Chennai,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,0,Dentist,300,Hyderabad,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,Homeopath,350,Mumbai,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,ENT Specialist,100,Mumbai,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0
21,10,General Medicine,400,Bangalore,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,10,Homeopath,300,Delhi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,ENT Specialist,300,Chennai,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
44,10,General Medicine,400,Ernakulam,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
5,0,ENT Specialist,600,Mumbai,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
4,10,General Medicine,300,Delhi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0,ENT Specialist,300,Chennai,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
